id,deskripsi_pengguna,label_rekomendasi,preprocessed
1,butuh laptop untuk desain grafis dan edit video,multimedia,butuh laptop desain grafis edit video
2,cari laptop ringan buat kerja kantoran dan browsing internet,office,cari laptop ringan kerja kantoran browsing internet
3,saya butuh laptop gaming dengan performa tinggi dan kartu grafis dedicated,gaming,butuh laptop gaming performa kartu grafis dedicated
4,ingin laptop murah untuk keperluan mengetik dan nonton film,office,laptop murah keperluan mengetik nonton film
5,perlu laptop untuk programming dan multitasking aplikasi berat,programming,laptop programming multitasking aplikasi berat
6,butuh laptop tipis dan ringan untuk dibawa ke kampus,office,butuh laptop tipis ringan dibawa kampus
7,"laptop yang cocok untuk animasi, rendering 3D, dan proyek desain arsitektur",multimedia,laptop cocok animasi rendering 3d proyek desain arsitektur
8,cari laptop ringan untuk kuliah dan ngetik,office,cari laptop ringan kuliah ngetik
9,saya ingin laptop kuat untuk main game berat,gaming,laptop kuat main game berat
10,butuh laptop untuk coding dan multitasking,programming,butuh laptop coding multitasking
11,mencari laptop dengan baterai tahan lama dan nyaman untuk zoom meeting,office,mencari laptop baterai tahan nyaman zoom meeting
12,butuh laptop performa tinggi untuk render video,multimedia,butuh laptop performa render video
13,saya perlu laptop yang bisa main Valorant dan FIFA,gaming,laptop main valorant fifa
14,ingin laptop untuk skripsi dan mengolah data excel,office,laptop skripsi mengolah data excel
15,laptop untuk pengembangan aplikasi dan debugging,programming,laptop pengembangan aplikasi debugging
16,cari laptop untuk desain UI/UX dan edit foto,multimedia,cari laptop desain uiux edit foto
17,saya ingin laptop untuk main game berat,gaming,laptop main game berat
18,butuh laptop untuk coding dan multitasking,gaming,butuh laptop coding multitasking
19,mencari laptop yang enteng untuk keperluan desain grafis dan editing,workstation,mencari laptop enteng keperluan desain grafis editing
20,butuh perangkat yang cocok untuk edit video dan membuat desain,multimedia,butuh perangkat cocok edit video desain
21,laptop untuk desain grafis yang ringan dan mudah dibawa,workstation,laptop desain grafis ringan mudah dibawa
22,laptop yang ringan dan mudah dibawa untuk desain grafis,workstation,laptop ringan mudah dibawa desain grafis
23,Saya ingin laptop yang dapat digunakan untuk bermain game berat.,multimedia,laptop bermain game berat
24,Saya butuh laptop ringan untuk mengetik dan presentasi di kantor.,office,butuh laptop ringan mengetik presentasi kantor
25,Cari laptop yang cocok untuk menjalankan Microsoft Word dan Excel dengan lancar.,office,cari laptop cocok menjalankan microsoft word excel lancar
26,Saya ingin laptop yang awet baterainya untuk bekerja seharian tanpa colokan.,office,laptop awet baterainya seharian colokan
27,Laptop harus nyaman untuk mengetik dokumen dalam waktu lama.,office,laptop nyaman mengetik dokumen
28,Butuh laptop dengan desain simpel dan mudah dibawa ke kantor.,office,butuh laptop desain simpel mudah dibawa kantor
29,Saya mencari laptop yang bisa digunakan untuk meeting online dan kerja remote.,office,mencari laptop meeting online kerja remote
30,Laptop harus punya webcam dan mikrofon yang bagus untuk rapat Zoom.,office,laptop webcam mikrofon bagus rapat zoom
31,"Ingin laptop cepat untuk browsing, email, dan membuat laporan kerja.",office,laptop cepat browsing email laporan kerja
32,Cari laptop yang cocok untuk pekerjaan administrasi dan input data.,office,cari laptop cocok pekerjaan administrasi input data
33,Saya butuh laptop untuk membuat presentasi PowerPoint dan laporan bulanan,office,butuh laptop presentasi powerpoint laporan bulanan
34,Ingin laptop murah tapi cukup untuk kerja kantor dan manajemen dokumen,office,laptop murah kerja kantor manajemen dokumen
35,Saya cari laptop yang bisa buka banyak tab browser sekaligus tanpa lemot.,office,cari laptop buka tab browser lemot
36,"Laptop ini digunakan untuk kerja kantoran biasa, tidak butuh spesifikasi tinggi.",office,laptop kerja kantoran butuh spesifikasi
37,Laptop harus mendukung aplikasi seperti Google Docs dan Spreadsheet,office,laptop mendukung aplikasi google docs spreadsheet
38,"Butuh laptop untuk kerja hybrid, kadang di rumah kadang di kantor",office,butuh laptop kerja hybrid kadang rumah kadang kantor
39,Saya cari laptop yang cocok untuk keperluan administrasi dan database ringan.,office,cari laptop cocok keperluan administrasi database ringan
40,Laptopnya harus punya port lengkap untuk koneksi ke proyektor dan printer.,office,laptopnya port lengkap koneksi proyektor printer
41,Saya butuh laptop untuk mengetik skripsi dan tugas kuliah juga.,office,butuh laptop mengetik skripsi tugas kuliah
42,Laptop ini akan dipakai untuk pekerjaan ringan seperti menulis dan laporan keuangan.,office,laptop dipakai pekerjaan ringan menulis laporan keuangan
43,Ingin laptop kecil dan ringan yang bisa masuk tas kerja saya.,office,laptop ringan masuk tas kerja
44,Saya butuh laptop yang tangguh dan ringan untuk bekerja saat bepergian.,workstation,butuh laptop tangguh ringan bepergian
45,Cari laptop bisnis yang punya daya tahan baterai lama dan keyboard nyaman.,workstation,cari laptop bisnis daya tahan baterai keyboard nyaman
46,"Laptop harus mendukung software bisnis seperti Excel, PowerPoint, dan aplikasi akuntansi.",workstation,laptop mendukung software bisnis excel powerpoint aplikasi akuntansi
47,"""Saya ingin laptop dengan build quality premium dan desain profesional.""",workstation,laptop build quality premium desain profesional
48,Butuh laptop untuk presentasi klien dan rapat online yang lancar.,workstation,butuh laptop presentasi klien rapat online lancar
49,Cari laptop yang memiliki fitur keamanan seperti fingerprint dan TPM.,workstation,cari laptop memiliki fitur keamanan fingerprint tpm
50,Saya ingin laptop bisnis dengan layar anti-glare dan port yang lengkap.,workstation,laptop bisnis layar antiglare port lengkap
51,Saya butuh laptop untuk kerja remote dan conference call setiap hari.,workstation,butuh laptop kerja remote conference call
52,"Cari laptop bisnis yang kuat namun tetap hemat daya dan tidak mudah panas.""",workstation,cari laptop bisnis kuat hemat daya mudah panas
53,Saya butuh laptop yang tahan banting untuk pekerjaan di luar ruangan.,workstation,butuh laptop tahan banting pekerjaan ruangan
54,Saya ingin laptop yang mudah dibawa untuk meeting dengan klien di berbagai tempat,workstation,laptop mudah dibawa meeting klien
55,"Laptop akan digunakan untuk manajemen proyek, email, dan pengolahan dokumen penting.",workstation,laptop manajemen proyek email pengolahan dokumen
56,Laptop harus punya daya tahan tinggi dan bisa digunakan selama jam kerja penuh.,workstation,laptop daya tahan jam kerja penuh
57,Cari laptop bisnis yang support docking station dan dual monitor setup.,workstation,cari laptop bisnis support docking station dual monitor setup
